Accession,Palmitic_acid,Stearic_acid,Oleic_acid,Linoleic_acid,Alpha_linoleic_acid,Protein ,Sesamin ,Sesamolin ,Oil,PHE,CNU,BNU,DIA,PAL,DBI,DSW,HIN,TSW,FLO,MAT,FTM,CLE,CWI,CNLA,NLC,Cluster_old,Cluster
T242,8.48787725,5.02088783,43.41935736,42.75953617,0.312341389,28.69080194,2.196607319,1.81528005,50.0526205,147.3333333,152.5555556,2.444444444,14.12222222,103.6666667,226.25,47.995,0.206531532,2.31819673,67,112,45,24,7.22,2,4,Cluster 2,Cluster2
T256,9.482528165,4.475844949,38.43803704,47.3400802,0.263509643,24.80118131,5.982301581,2.190128567,50.46935977,153.1111111,141.2222222,5.555555556,15.2,85.11111111,292.25,18.4,0.052646638,2.527278264,48.5,99.5,51,21.8,6.02,1,4,Cluster 3,Cluster3
T262,9.216891572,4.859418761,41.54148329,44.09486051,0.28734587,25.95040889,2.433730273,1.785105963,51.47829734,141.5555556,136.8888889,4.888888889,13.76666667,100.1111111,191.2,30.4,0.171364149,3.235739345,66.5,110,43.5,25.4,7.26,1,4,Cluster 2,Cluster2
T279,8.515504137,5.845160422,43.80170848,41.66946929,0.168157665,26.86699142,2.433179792,2.120860557,51.30784708,111.6666667,58.66666667,2.333333333,8.9,32.14285714,174.75,31.855,0.165385357,2.734053317,53,107,54,26.26153846,7.672,1,4,Cluster 2,Cluster1
T297,9.967895409,4.800216609,42.0802228,42.84995939,0.301705798,25.9062599,0.971761435,0.137781125,53.48886308,138.2222222,107.2222222,4.555555556,10.93333333,85,254,26.4,0.167088608,3.06,56,113,57,30.25,7.325,1,4,Cluster 2,Cluster3
T308,9.82454961,5.092094649,39.48305996,45.49946222,0.100833557,25.04456795,3.687487724,1.071067235,51.28984899,143.875,118,7.25,14.9875,45.5,501,47.59,0.101382979,2.963145164,62,108,46,28,7.4,1,4,Cluster 3,Cluster3
T310,9.649472426,5.162467748,36.79595561,48.12989029,0.262213925,28.80753801,2.586774408,1.320188172,51.03462838,177.6666667,154.4444444,5,19.48888889,88.55555556,448,42.6,0.095089286,2.591568787,47.5,87,39.5,25.2,7.18,1,4,Cluster 3,Cluster2
T315,9.813478302,5.958071672,41.12537882,42.84062861,0.262442591,29.73935891,1.629584453,0.854207676,48.9963216,109.2857143,126.8571429,4.857142857,14.42857143,50.8,256.25,48.98,0.195647059,3.02651722,68.5,116,47.5,21,8,1,4,Cluster 2,Cluster2
T317,9.711548059,4.800878331,40.91892072,44.32578102,0.242871877,26.90812349,1.59464344,0.856396185,44.90570014,139.3333333,213.6666667,8.111111111,19.34444444,87.22222222,507.25,103.105,0.199983678,3.125400077,54.5,100.5,46,22.2,6.86,1,4,Cluster 3,Cluster2
T325,10.69244129,5.765309975,38.91112286,44.26867024,0.362455637,27.77877888,0.84786042,0.618929849,42.63302947,147.1111111,167.6666667,2.888888889,16.15555556,118.5555556,269.25,51.66,0.172911548,2.546938995,63,108.5,45.5,24.2,7,2,4,Cluster 2,Cluster2
T332,10.44677513,5.339004047,38.6076472,45.3712115,0.235362127,25.99121247,4.363381588,0.915285049,52.1811905,147.6,179.1,6.3,17.29,63.6,324,48.27,0.15308642,2.721666667,48.5,100,51.5,20.6,7.28,1,4,Cluster 3,Cluster2
T338,8.997383231,5.283722264,43.82191634,41.71774743,0.179230742,26.17449664,4.184915257,2.078673892,53.54446309,147.4,128.5,5,14.2,85.4,308.4,29.9,0.181186467,2.678333334,54,101,47,25.2,7.08,1,4,Cluster 2,Cluster2
